========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 2
dataset: sparse_3_dense_3_dense_3
pretrain_path: data/sparse_3_dense_3_dense_3/ae_gamma_0.05_nz_2_update_3.pkl
gamma: 0.05
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.5222, NMI 0.5840, ARI 0.4061, Δlabel 0.0000
Iter 003: Acc 0.5044, NMI 0.6268, ARI 0.4360, Δlabel 0.0456
Iter 006: Acc 0.6089, NMI 0.6336, ARI 0.4863, Δlabel 0.1211
Iter 009: Acc 0.6267, NMI 0.6190, ARI 0.4953, Δlabel 0.0256
Iter 012: Acc 0.6200, NMI 0.6400, ARI 0.4980, Δlabel 0.0144
Iter 015: Acc 0.5789, NMI 0.6410, ARI 0.4644, Δlabel 0.0467
Iter 018: Acc 0.5700, NMI 0.6368, ARI 0.4596, Δlabel 0.0122
Iter 021: Acc 0.5656, NMI 0.6315, ARI 0.4523, Δlabel 0.0078
Iter 024: Acc 0.5800, NMI 0.6414, ARI 0.4652, Δlabel 0.0144
Iter 027: Acc 0.5711, NMI 0.6190, ARI 0.4475, Δlabel 0.0089
Iter 030: Acc 0.5789, NMI 0.6217, ARI 0.4532, Δlabel 0.0078
Iter 033: Acc 0.5633, NMI 0.5999, ARI 0.4310, Δlabel 0.0178
Iter 036: Acc 0.5478, NMI 0.5667, ARI 0.3996, Δlabel 0.0167
Iter 039: Acc 0.5467, NMI 0.5805, ARI 0.4101, Δlabel 0.0089
Iter 042: Acc 0.5456, NMI 0.5916, ARI 0.4180, Δlabel 0.0056
Iter 045: Acc 0.5556, NMI 0.5978, ARI 0.4262, Δlabel 0.0100
Iter 048: Acc 0.5411, NMI 0.5652, ARI 0.3962, Δlabel 0.0156
Iter 051: Acc 0.5433, NMI 0.5657, ARI 0.3973, Δlabel 0.0022
Iter 054: Acc 0.5367, NMI 0.5447, ARI 0.3777, Δlabel 0.0067
Iter 057: Acc 0.5511, NMI 0.5675, ARI 0.4015, Δlabel 0.0144
Iter 060: Acc 0.5689, NMI 0.5977, ARI 0.4320, Δlabel 0.0178
Iter 063: Acc 0.5522, NMI 0.5818, ARI 0.4131, Δlabel 0.0167
Iter 066: Acc 0.5322, NMI 0.5636, ARI 0.3922, Δlabel 0.0211
Iter 069: Acc 0.5378, NMI 0.5901, ARI 0.4144, Δlabel 0.0078
Iter 072: Acc 0.5100, NMI 0.5507, ARI 0.3768, Δlabel 0.0289
Iter 075: Acc 0.5311, NMI 0.5777, ARI 0.4031, Δlabel 0.0211
Iter 078: Acc 0.5356, NMI 0.5784, ARI 0.4049, Δlabel 0.0044
Iter 081: Acc 0.5133, NMI 0.5612, ARI 0.3862, Δlabel 0.0222
Iter 084: Acc 0.5067, NMI 0.5505, ARI 0.3761, Δlabel 0.0067
Iter 087: Acc 0.4933, NMI 0.5465, ARI 0.3716, Δlabel 0.0267
Iter 090: Acc 0.5267, NMI 0.5808, ARI 0.4045, Δlabel 0.0456
Iter 093: Acc 0.5322, NMI 0.5973, ARI 0.4181, Δlabel 0.0056
Iter 096: Acc 0.5244, NMI 0.5882, ARI 0.4097, Δlabel 0.0078
Iter 099: Acc 0.5244, NMI 0.5659, ARI 0.3922, Δlabel 0.0100
